web-scraper-order,web-scraper-start-url,news,news-href,title,date,content
"1617719577-356","https://indianexpress.com/page/101/?s=Triple+talaq","After Delhi and Bihar, BJP to get third ‘talaq’ in Uttar Pradesh: Yechury","https://indianexpress.com/article/india/after-delhi-and-bihar-bjp-to-get-third-talaq-in-uttar-pradesh-yechury/","After Delhi and Bihar, BJP to get third ‘talaq’ in Uttar Pradesh: Yechury","January 22, 2017 9:56:26 pm","<img loading=""lazy"" class=""wp-image-3020539 size-full"" src=""https://images.indianexpress.com/2016/09/sitaram-yechury-759.jpg"" alt=""bjp, bjp in UP elections 2017, sitaram yechury, uttar pradesh general elections, uttar pradesh assembly elections 2017, bhartiya janata party, narendra modi, prime minister, CPIM, CPIM general secretary, up polls, dalit hakkula sadhana samiti, delhi elections, bihar elections, india news, election news, latest election news, indian express"" srcset=""https://images.indianexpress.com/2016/09/sitaram-yechury-759.jpg 759w, https://images.indianexpress.com/2016/09/sitaram-yechury-759.jpg?resize=450,250 450w, https://images.indianexpress.com/2016/09/sitaram-yechury-759.jpg?resize=600,334 600w, https://images.indianexpress.com/2016/09/sitaram-yechury-759.jpg?resize=728,405 728w, https://images.indianexpress.com/2016/09/sitaram-yechury-759.jpg?resize=150,83 150w"" sizes=""(max-width: 759px) 100vw, 759px"" /> CPI(M) General Secretary Sitaram Yechury. (File Photo)
CPI(M) general secretary Sitaram Yechury today claimed that the BJP will taste another electoral defeat in the upcoming Uttar Pradesh Assembly polls. Mocking Prime Minister Narendra Modi, he said the voters of Delhi and Bihar had already given “talaq” to the saffron party and it was going to get the same “message” for the third time from the voters of Uttar Pradesh.
Watch What Else Is In News?

“They are opposing triple talaq. BJP has already been given talaq twice in the Delhi and Bihar polls. Modi is going to get the third one from the people of Uttar Pradesh in the ensuing Assembly election. And finally, they will be ousted by the people in the 2019 general election,” Yechury told a meeting organised by the Dalit Hakkula Sadhana Samiti here.
He accused the Centre of “unleashing a financial emergency” in the name of demonetisation and claimed that the move was expected to have a bearing on the country’s economic growth.https://images.indianexpress.com/2020/08/1x1.png
Meanwhile, CPI general secretary Suravaram Sudhakar Reddy said the NDA government did not take any step to arrest the likes of Lalit Modi and Vijay Mallya, while BJP leader Gali Janardhan Reddy was not arrested, in spite of spending a huge amount on his daughter’s wedding after the currency ban.
BR Ambedkar’s grandson and former MP Prakash Ambedkar alleged that a major chunk of black money was deposited in the banks before November 8, the day Modi announced demonetisation."
"1617718021-156","https://indianexpress.com/page/114/?s=Triple+talaq","Government can hold referendum on triple talaq: AIMPLB member","https://indianexpress.com/article/india/india-news-india/government-can-hold-referendum-on-triple-talaq-aimplb-member-3076772/","Government can hold referendum on triple talaq: AIMPLB member","Updated: October 14, 2016  12:00:46 pm","Stressing that Sharia law cannot be changed, Member of All India Muslim Personal Law Board Zafaryab Jilani suggested that said the central government can hold a referendum on the issue of triple talaq. Talking to reporters in Muzaffarnagar at an event Monday evening, Jilani claimed, “Ninety per cent Muslim women support the Sharia Law.”
WATCH VIDEO: Muslim Law Board vs Government: Where The Battle Stands
 
 
“Union government can hold a vote on the issue of triple talaq…Muslims will not tolerate any interference in the Muslim Personal Law,” the Additional Advocate General of Uttar Pradesh said.https://images.indianexpress.com/2020/08/1x1.png
“The move of banning triple talaq is a conspiracy to impose a uniform civil code,” he alleged. He, however, said in Islam divorce is considered an unpleasant act and is discouraged.
On tensions between India and Pakistan, he said every Muslim is with the country to teach a lesson to the neighbouring nation. He said Pakistan was affected by its own conspiracy and even Pakistani mosques are not safe from terrorist attacks.
On October 7, the Centre had opposed in the Supreme Court the practice of triple talaq, ‘nikah halala’ and polygamy among Muslims and favoured a relook on grounds like gender equality and secularism.
WATCH VIDEO: Muslim Law Board Rejects Law Panel Questionnaire: Find Out Why


The Ministry of Law and Justice, in its affidavit, referred to constitutional principles like gender equality, secularism, international covenants, religious practices and marital law prevalent in various Islamic countries to drive home the point that the practice of triple talaq and polygamy needed to be adjudicated upon afresh by the apex court."
"1617718204-178","https://indianexpress.com/page/113/?s=Triple+talaq","SC to revisit judgments on Hindutva and Hinduism","https://indianexpress.com/article/india/india-news-india/triple-talaq-hinduism-sc-to-revisit-judgments-on-hindutva-and-hinduism-3085224/","SC to revisit judgments on Hindutva and Hinduism","Updated: October 16, 2016  9:34:55 am","<img loading=""lazy"" class=""wp-image-3046985 size-full"" src=""https://images.indianexpress.com/2016/09/supreme-court-ap-759.jpg"" alt=""supreme court judges, high court judges, judges, Supreme Court collegium, Memorandum of Procedure, judicial appointments, India news"" srcset=""https://images.indianexpress.com/2016/09/supreme-court-ap-759.jpg 759w, https://images.indianexpress.com/2016/09/supreme-court-ap-759.jpg?resize=450,250 450w, https://images.indianexpress.com/2016/09/supreme-court-ap-759.jpg?resize=600,334 600w, https://images.indianexpress.com/2016/09/supreme-court-ap-759.jpg?resize=728,405 728w, https://images.indianexpress.com/2016/09/supreme-court-ap-759.jpg?resize=150,83 150w"" sizes=""(max-width: 759px) 100vw, 759px"" /> The Supreme Court bench held that “Hinduism” and “Hindutva” were not necessarily to be understood and construed narrowly, confined only to strict Hindu religious practices.
ON TUESDAY, the day it was originally slated to examine the Constitutional validity of triple talaq and polygamy, the Supreme Court will set out to analyse whether the words “Hindutva” and “Hinduism” connote the “way of life” of the Indian people and not just Hindu religious practices.
More than 20 years after a batch of judgments ruled that these words are “indicative more of a way of life of the Indian people and are not confined merely to describe persons practising the Hindu religion as a faith”, a seven-judge Constitution Bench will revisit this matter and other judgments on the issue.
The BJP, which leads the NDA government, had underlined one such judgment from 1995 in its election manifestos and to counter accusations of it being communal, to assert that even the apex court has endorsed the true meaning of Hindutva and Hinduism.
Watch what else is making news:https://images.indianexpress.com/2020/08/1x1.png

In December 1995, Justice J S Verma, writing for a three-judge Supreme Court bench, had held that seeking votes in the name of Hinduism is not a “corrupt practice” under Section 123 of the Representation of the People Act, which would result in setting aside the election of winning candidates.
Section 123 (3-A) defines “corrupt practice” as promotion of, or attempt to promote, feelings of enmity or hatred between different classes of the citizens of India on grounds of religion, race, caste, community, or language, by a candidate or his agent.
Relying on this provision, the Bombay High Court had set aside the election of many BJP-Shiv Sena candidates in the Maharashtra assembly polls at the time.
Adjudicating on appeals by leaders such as Bal Thackerey, Manohar Joshi and R Y Prabhoo, the three-judge Supreme Court bench held that “Hinduism” and “Hindutva” were not necessarily to be understood and construed narrowly, confined only to strict Hindu religious practices.
”Unless the context of a speech indicates a contrary meaning or use, in the abstract, these terms are indicative more of a way of life of the Indian people and are not confined merely to describe persons practicing the Hindu religion as a faith,” the apex court noted.
Justice Verma said that the mere fact that these words (Hindutva or Hinduism) are used in speech would not bring them within the prohibition of sub-section (3) or (3A) of Section 123. “It may well be that these words are used in the speech to promote secularism and to emphasise the way of life of the Indian people and the Indian culture or ethos, or to criticise the policy of any political party as discriminatory or intolerant,” the court ruled.
It cited two previous five-judge bench decisions in the Sastri Yagnapurushadji and others Vs Muldas Bhudarda Vaishya and another of 1966; and the Commissioner of Wealth tax, Madras and others Vs late R Sridharan by Legal Representatives case of 1976 to support the proposition that Hinduism indicated culture and not religious practices.
The court subsequently held as valid the election of Sena’s Joshi, who had admittedly said in one of his election speeches that “the first Hindu State will be established in Maharashtra” and Ramchandra Kapse, a BJP candidate, which had in its election manifesto appealed for votes by referring to the Ram Janmabhoomi-Babri Masjid issue.
Four months after this verdict, another three-judge Supreme Court bench adjudicating the Abhiram Singh Vs C D Commachen & Ors case said that it would be appropriate if a five-judge bench examines the scope of inquiry to be conducted when such charges of “corrupt practices” are levelled.
In January 2014, when a five-judge bench was hearing this matter, the court was informed that identical issues had been raised in an election petition filed against BJP leader Sunderlal Patwa — the matter was then referred to a bench of seven judges, which will now start hearings."
"1617718327-199","https://indianexpress.com/page/111/?s=Triple+talaq","All personal laws need reforms but no uniform civil code: CPI-M on triple talaq","https://indianexpress.com/article/india/india-news-india/all-personal-laws-need-reforms-but-no-uniform-civil-code-cpi-m-on-triple-talaq-3089469/","All personal laws need reforms but no uniform civil code: CPI-M on triple talaq","October 18, 2016 2:33:11 pm","<img loading=""lazy"" class=""size-full wp-image-3086640"" src=""https://images.indianexpress.com/2016/10/talaq.jpg"" alt=""triple talaq, uniform civil code, ucc, muslim,muslim law, islamic law, muslim man,muslim women, british raj, ghulam nabi azad, india news, latest news"" srcset=""https://images.indianexpress.com/2016/10/talaq.jpg 759w, https://images.indianexpress.com/2016/10/talaq.jpg?resize=450,250 450w, https://images.indianexpress.com/2016/10/talaq.jpg?resize=600,334 600w, https://images.indianexpress.com/2016/10/talaq.jpg?resize=728,405 728w, https://images.indianexpress.com/2016/10/talaq.jpg?resize=150,83 150w"" sizes=""(max-width: 759px) 100vw, 759px"" /> Anchored in the issue of women’s rights, the stated objective of the survey is to end discrimination against vulnerable groups, and the need to “harmonise the various cultural practices”. (Photo for representational purpose)
Alleging that “communal” forces have launched an offensive on identity of minorities, CPI(M) on Tuesday said any move to push Uniform Civil Code “as is being done by the government” will be counterproductive for women’s rights even as it favoured reforms in personal laws of all communities, including Hindus. The Left party supported the demand of section of Muslim women against the practice of “arbitrary and instant” triple talaq and said reforms were needed in personal laws of the “majority community” too as that they “discriminate” against women.
Watch what else is making news

“With the offensive of communal forces on the very identity of minority communities, any move to push the agenda of UCC as is being done by the government directly and through its institutions is counterproductive for the rights of women. Uniformity is not the guarantee for equality,” the CPI(M) said in a statement.
Slamming the government over claims of “its spokespersons” that personal laws for Hindu women have already been reformed, the CPI(M) said the remarks show their interest is not in securing women’s equality, but is in targeting minority communities, particularly Muslims.https://images.indianexpress.com/2020/08/1x1.png
“Even now laws concerning, adoption, property rights and even the right to choose your own partner discriminate against Hindu women,” the party said, seeking to pick holes in government’s alleged claim.
The CPI(M) extended support to the demand against the practice of triple talaq and noted it is not permitted in most Islamic countries.
“Acceptance of this demand will bring relief to affected women. All personal laws including those for the majority community require reform,” the CPI(M) said."
"1617720421-455","https://indianexpress.com/page/94/?s=Triple+talaq","Muslim Law Board to end triple talaq in 1.5 years: AIMPLB Vice President","https://indianexpress.com/article/india/muslim-law-board-to-end-triple-talaq-in-1-5-years-aimplb-vice-president-4609128/","Muslim Law Board to end triple talaq in 1.5 years: AIMPLB Vice President","Updated: April 12, 2017  10:58:11 am","<img loading=""lazy"" class=""wp-image-3088467 size-full"" src=""https://images.indianexpress.com/2016/10/triple-talaq-759.jpg"" alt=""Triple talaq, Triple talaq AIMPLB, AIMPLB, muslim, muslim divorce, nikah halala, three divorce, latest news, india news, indian express news"" srcset=""https://images.indianexpress.com/2016/10/triple-talaq-759.jpg 759w, https://images.indianexpress.com/2016/10/triple-talaq-759.jpg?resize=450,250 450w, https://images.indianexpress.com/2016/10/triple-talaq-759.jpg?resize=600,334 600w, https://images.indianexpress.com/2016/10/triple-talaq-759.jpg?resize=728,405 728w, https://images.indianexpress.com/2016/10/triple-talaq-759.jpg?resize=150,83 150w"" sizes=""(max-width: 759px) 100vw, 759px"" /> VP said the government should not interfere in it
The Vice President of AIMPLB has said that the board will end the practice of triple talaq itself in one-and-a-half years so the government should not interfere in the matter. Kalbe Sadiq also advised the Muslims against eating beef. Sadiq, who was in Bijnor on Tuesday to attend a programme, was speaking to reporters at the residence of President of District Civil Bar Association.
The Shia scholar said the triple talaq system was unfair to women but it was a personal affair for the community and they would solve it themselves within one to one-and-a-half years. He said the government should not interfere in it. On the issue of beef consumption, he said in religious books eating beef is not advised and Muslims should not have it.

Sadiq said if the government enacts laws banning cow slaughter and beef eating in the country, the Muslims would welcome it. He condemned the unlawful activities of cow vigilantes and demanded that it be stopped. On the Ram temple issue, he said the dispute should end now and the Hindus and the Muslims should yield some ground to each other so that a compromise could be reached.
He said Muslims should not insist on making a mosque at the site where the temple would be built. Sadiq said Muslim leaders were responsible for the poor state of the community. He said Kashmiri youths should open their eyes and understand the nefarious designs of Pakistan. He said India should be united for it to become a prosperous country."
"1617720587-482","https://indianexpress.com/page/92/?s=Triple+talaq","Women and men","https://indianexpress.com/article/opinion/editorials/women-and-men-narendra-modi-triple-talaq-bjp-up-muslims-4617161/","Women and men","April 18, 2017 12:37:52 am","<img loading=""lazy"" class=""wp-image-4582719 size-full"" src=""https://images.indianexpress.com/2017/03/editorial-759-masthead-ie1.jpg"" alt=""ramvilas paswan, paswan, Food and Consumer Affairs Minister, food wastage, indian hotels, indian restaurants, PM Modi, india news, indian express"" srcset=""https://images.indianexpress.com/2017/03/editorial-759-masthead-ie1.jpg 759w, https://images.indianexpress.com/2017/03/editorial-759-masthead-ie1.jpg?resize=450,242 450w, https://images.indianexpress.com/2017/03/editorial-759-masthead-ie1.jpg?resize=600,323 600w, https://images.indianexpress.com/2017/03/editorial-759-masthead-ie1.jpg?resize=728,391 728w"" sizes=""(max-width: 759px) 100vw, 759px"" /> The PM’s concern is commendable. He is right to address the special needs of backward Muslims.
At the BJP’s two-day national executive in Bhubaneswar, Prime Minister Narendra Modi spoke of the need for “social justice” to encompass backward Muslims. He is also reported to have referred specifically to the concerns of Muslim women and to the necessity of justice for them through dialogue, not conflict. The PM’s concern is commendable. He is right to address the special needs of backward Muslims.
And to intervene in the triple talaq debate on behalf of its victims. He does well to bring the weight of his office to the side of Muslim women at a time when they are being let down by powerful organisations such as the All India Muslim Personal Law Board, which has yet again stopped short of taking an unequivocal stand against the unjust practice.
The PM’s acknowledgement of the special needs of backward Muslims and of Muslim women is notable for another reason: It is a welcome departure from his insistence so far on taking no names, of letting the concerns and sensitivities of minority groups be subsumed in the wide and apolitical slogan of “sabka saath sabka vikas”, which papers over the many inequities and discriminations built into the notions of “development” and the “people”. Yes, the PM broke a silence on Sunday at Bhubaneswar. But now that he has made a beginning, and for him to be really heard by those he is addressing, there are other silences that he and his government must break.https://images.indianexpress.com/2020/08/1x1.png
While the predicament of Muslim women oppressed by triple talaq calls for special measures, talk of gender justice only draws attention to the sidestepping of other oppressions being faced by a beleaguered minority community in times of gau rakshak vigilantism. On April 1, Pehlu Khan was beaten up by a band of gau rakshaks for transporting cattle in Behror area of Alwar on National Highway 8 — he died in hospital two days later. In the group of six accosted and assaulted that day, Arjun Lal Yadav was let off because, as he told this paper later, the attackers “went for the Muslims”. In the aftermath, a Union minister sought to deny the crime in Parliament and a Rajasthan minister suggested that “both sides” were to blame.
The evidence is building that the Alwar attack was not an act of random criminality, and that the government prevarication seen in its aftermath is also part of a pattern. Incidents of violence and vigilantism by gau rakshaks targeting Muslims have been reported from other places, in other states as well.
They are fuelled, in UP, by its new chief minister’s crackdown on “illegal” slaughter houses, and by muscular statements of other BJP chief ministers as they bring draconian legislation against cow slaughter in their states. In many ways, Alwar has become the latest emblem of this government’s minority problem in the last three years of its rule. For the PM’s concern about the Muslim community’s backwardness and the plight of its women to be heard with the attention it deserves, therefore, his government must first address the fears and insecurities that Alwar has given a name to."
"1617719190-301","https://indianexpress.com/page/105/?s=Triple+talaq","AIMPLB forms women’s wing, to set up helpline","https://indianexpress.com/article/india/india-news-india/modis-remark-helped-muslim-women-to-be-aware-of-triple-talaq-rules-aimplb-4386196/","AIMPLB forms women’s wing, to set up helpline","Updated: November 21, 2016  4:27:21 am","<img loading=""lazy"" class=""wp-image-3086695 size-full"" src=""https://images.indianexpress.com/2016/10/triple-talaq.jpg"" alt=""pm modi, pm modi triple talaq, AIMPLB, AIMPLB triple talaq, modi uniform civil code, AIMPLB uniform civil code, india news"" srcset=""https://images.indianexpress.com/2016/10/triple-talaq.jpg 759w, https://images.indianexpress.com/2016/10/triple-talaq.jpg?resize=450,250 450w, https://images.indianexpress.com/2016/10/triple-talaq.jpg?resize=600,334 600w, https://images.indianexpress.com/2016/10/triple-talaq.jpg?resize=728,405 728w, https://images.indianexpress.com/2016/10/triple-talaq.jpg?resize=150,83 150w"" sizes=""(max-width: 759px) 100vw, 759px"" /> AIMPLB member said that India was a secular and a democratic country and that everybody had the right to pursue their own religious rights. (Express Archive Photo)
Member of the women’s wing of the All India Muslim Personal Law Board (AIMPLB) Asma Zehra on Sunday said that Prime Minister Narendra Modi’s comments against triple talaq and implementation of a uniform civil code had acted as a blessing in disguise for Muslim women.
“About 10 crore women, across the country, through a signature campaign had expressed their support for the Muslim Personal Law and had also said that they knew that the attempt to implement a uniform civil code was a tool to interfere with the Muslim Personal Law which is our constitutional right,” Zehra said. She added that Modi’s attempt had helped lakhs of Muslim women to be aware of the rules of ‘talaq’ and their rights during separation.
Watch what else is making news

Zehra also said that to educate Muslim women further, there would be several technological interventions in the near future. “A toll free helpline would be made available for Muslim women in distress. Other than English and Urdu, it will be available in eight regional languages and there will be experienced regional counsellors available at the other end. Besides a website is also there to deal with the plight of Muslim women,” she said.https://images.indianexpress.com/2020/08/1x1.png
It was found out that the board was also mulling the idea to reach the women at the ground level through smart phones. They were also in talks with agencies to develop an app downloadable on mobile phones to help Muslim women in distress.
Zehra said that India was a secular and a democratic country and that everybody had the right to pursue their own religious rights. “We fully stand in support of the triple talaq among Muslims and oppose the uniform civil code. A misinformation is being spread about triple talaq by the government. It is not true. Divorce rate is least in the Muslim community. The number of abandoned, deserted, and divorced women in other communities are many times larger. The Modi government is trying to attach the Muslim community to create an image that Muslim women were oppressed. This will not be tolerated and we will put up protests against this in a democratic and peaceful manner,” Zehra asserted."
"1617719324-316","https://indianexpress.com/page/104/?s=Triple+talaq","No scope for interference with Muslim Personal Law: Jamiat Ulema-i-Hind to Supreme Court","https://indianexpress.com/article/india/no-scope-for-interference-with-muslim-personal-law-triple-talaq-jamiat-ulema-i-hind-to-supreme-court-4407505/","No scope for interference with Muslim Personal Law: Jamiat Ulema-i-Hind to Supreme Court","December 2, 2016 10:00:20 pm","<img loading=""lazy"" class=""wp-image-3095681 size-full"" src=""https://images.indianexpress.com/2016/10/india-islamic-divorce-759-1.jpg"" alt=""Muslim Personal Law,  triple talaq, nikah halala, polygamy, India Muslims, news, latest news, India news, national news"" srcset=""https://images.indianexpress.com/2016/10/india-islamic-divorce-759-1.jpg 759w, https://images.indianexpress.com/2016/10/india-islamic-divorce-759-1.jpg?resize=450,250 450w, https://images.indianexpress.com/2016/10/india-islamic-divorce-759-1.jpg?resize=600,334 600w, https://images.indianexpress.com/2016/10/india-islamic-divorce-759-1.jpg?resize=728,405 728w, https://images.indianexpress.com/2016/10/india-islamic-divorce-759-1.jpg?resize=150,83 150w"" sizes=""(max-width: 759px) 100vw, 759px"" /> In its counter affidavit, the Jamiat has also said “the Muslim Personal Law stands on a much higher pedestal when compared to customs or practices because the former has element of certainty and is not local or regional in operation.” (source: AP)
Prominent Islamic organisation Jamiat Ulema-i-Hind today told the Supreme Court there is no scope for interference with the Muslim Personal Law in which triple talaq, ‘nikah halala’ and polygamy are well rooted and stand on much higher pedestal as compared to other customs. In its counter affidavit, the Jamiat stated that the Muslim Personal Law has an element of certainty and is not local or regional in operation.
Watch what else is making news:

“There is no scope for interference with the Muslim Personal Law, which is based on primarily the Holy Quran and the Sunnah of Prophet Muhammad, explained and applied by various scholars of great antiquity and authority after thorough research,” it said. “The protection of peculiarities in personal laws is necessary for securing freedom of religion and bringing uniformity by removing those peculiarities shall be enforcement of Uniform Civil Code by the judicial process, which shall be against the constitutional bar,” it said.
Relying on various apex court judgements, it said that Fundamental Duties as in the Constitution does not not touch upon the personal laws of the parties.https://images.indianexpress.com/2020/08/1x1.png
“In personal laws, new concepts of modern times should not be evolved by the courts and it should enforce the law as derived from recognised and authoritative sources of personal laws except where such law is altered by any usage or customs or is modified or abrogated by statute,” the Jamiat said. In its counter affidavit, the Jamiat has also said “the

Muslim Personal Law stands on a much higher pedestal when compared to customs or practices because the former has element of certainty and is not local or regional in operation.”
Referring to Muslim Personal Law (Shariat) Application Act, 1937, the affidavit said that it has highlighted that Muslim women should be allowed to be governed by Muslim Personal Law instead of local customs and practices because the Muslim Personal Law treats “women with greater dignity”."
"1617719165-298","https://indianexpress.com/page/105/?s=Triple+talaq","Muslims hold key to electoral outcome in UP","https://indianexpress.com/article/india/india-news-india/muslims-hold-key-to-electoral-outcome-in-up-4385594/","Muslims hold key to electoral outcome in UP","November 20, 2016 2:48:17 pm","Muslim voters, who account for nearly 20 per cent of Uttar Pradesh’s population, can make or mar the electoral prospects of key political parties vying for the top slot in the upcoming Assembly elections. While divided Muslim votes translate to gains for BJP, a consolidation will change the poll arithmetic as minorities play a crucial role in at least 125 of 403 constituencies, which will go to polls in early 2017.
Samajwadi Party chief Mulayam Singh Yadav’s decision to revoke expulsion of his estranged cousin and senior party leader Ram Gopal Yadav might once again bring the political spotlight back on Bahujan Samaj Party (BSP).
As ruling SP grappled with internal feud, BSP supremo Mayawati sought to fish in troubled waters, seeking to drive a wedge in SP camp to wean away the crucial Muslim vote bank.https://images.indianexpress.com/2020/08/1x1.png
Muslims are considered the traditional votebank of the ruling Samajwadi Party and the concern over SP family feud has been voiced by several top clerics including, Syed Ahmed Bukhari, the Shahi imam of Delhi’s Jama Masjid and Maulana Salman Nadvi of Lucknow-based Darul Uloom Nadwatul Ulama.
These leaders gave a blunt message to SP chief that their votes would end up with BSP if the internecine war in his party did not end.
Even a few days back, the competition seemed even – the SP was battling a damaging power struggle, BSP had been hit by desertions and Congress despite a month-long campaign to woo farmers was still struggling to be taken seriously.
But, the revocation of Ram Gopal’s suspension gave a new dimension to the highly surcharged pre-poll scenario. Mayawati termed Ram Gopal’s reinstatement as a “drama” to cover up the existing bitterness between Chief Minister Akhilesh Yadav and his uncle Shivpal.
Political analysts say the development could drive the BSP supremo to think of a fresh strategy, especially in the communally sensitive western UP, where she anticipates a keen contest with BJP. So far, she has been harping on the feud in SP to caution Muslims “not to waste their votes”.
BSP insiders said the party was contemplating reassessing its strategy vis-a-vis Muslim vote bank, which has strongly been siding with SP post Ramjanmbhoomi-Babri Masjid issue.
They were of the view that revocation of Ram Gopal’s suspension was an effort by Samajwadi Party to project itself as a united outfit, especially after a bitter infighting between Akhilesh and Shivpal two months ago.
Sources said Mayawati had directed her deputy Naseemuddin Siddiqui and his son Afzal to accelerate BSP campaign in western UP to mobilize Muslim voters and showcase the party that can halt the saffron surge.
She has also promised a substantial chunk of tickets to Muslims to ensure that the community backs her party over SP. Insiders said the party will take the help of social media to reach out to voters in shortest possible time.
They said Mayawati was of the firm view that wooing Muslims and galvanising them with her core Dalit vote bank could drum up a formidable alliance to take on BJP, which will stand to gain in the event of Muslim votes getting split between SP and BSP.
The triple talaq issue is also bringing the community together. Analysts say as Congress is weak and SP is engaged in family battle, BSP will be their next best option. They say that a Bihar-like ‘maha-gathbandhan’ in UP could have kept the Muslim flock together.
But, SP patriarch has ruled out any such alliance, though he said mergers with his party could be considered. As the Assembly elections draw near, BJP too seems to be re-drawing its strategy by roping in as many Muslim voters as possible before the elections, and by showing itself as the primary opponent of SP.
The saffron party expects to gain those Muslim voters who have become disenchanted with SP, especially after Muzaffarnagar riots of 2013, in which over 60 people were killed and around 50,000 rendered homeless.
Muslims are also unhappy with the SP government which has not so far fulfilled its promise to ensure 18 per cent quota for them, despite the fact that reservation is not on basis of religion.
Congress too is making frantic efforts to regain its lost organisational moorings in the state and appointed Ghulam Nabi Azad as its state incharge, hoping to attract a huge chunk of Muslim votes.
Muslims, who constitute a fifth of the state’s population of nearly 200 crore, are yet to open their cards as to which way they will go though the community is the cynosure of all eyes of major political parties."
"1617720160-421","https://indianexpress.com/page/97/?s=Triple+talaq","One million Indian Muslims sign petition against triple talaq","https://indianexpress.com/article/india/one-million-indian-muslims-sign-petition-against-triple-talaq-4574242/","One million Indian Muslims sign petition against triple talaq","Updated: March 18, 2017  7:25:55 am","<img loading=""lazy"" class=""size-full wp-image-3086695"" src=""https://images.indianexpress.com/2016/10/triple-talaq.jpg"" alt=""Muslim Rashtriya Manch, MRM, RSS affiliate, triple talaq, campaign against triple talaq, india news, indian express"" srcset=""https://images.indianexpress.com/2016/10/triple-talaq.jpg 759w, https://images.indianexpress.com/2016/10/triple-talaq.jpg?resize=450,250 450w, https://images.indianexpress.com/2016/10/triple-talaq.jpg?resize=600,334 600w, https://images.indianexpress.com/2016/10/triple-talaq.jpg?resize=728,405 728w, https://images.indianexpress.com/2016/10/triple-talaq.jpg?resize=150,83 150w"" sizes=""(max-width: 759px) 100vw, 759px"" /> Representational imaga. Express Photo
With the battle against triple talaq gaining momentum by the day, over a million Muslims from across India with women in majority, have signed a petition to end the controversial divorce practice of triple talaq. According to the Quran, a man must consider his decision for a period of three months after he initially declared talaq, and divorce is only granted after the remaining two “talaqs” are stated.
The petition was started by the Muslim Rashtriya Manch (MRM), an organization affiliated with the Rashtriya Swayamsevak Sangh (RSS), reports CNN, adding that the positive response to the petition has been linked with the Bharatiya Janata Patry’s recent success in the Uttar Pradesh Assembly Elections.

The BJP won in a landslide, taking 312 seats out of a total of 403, the biggest majority for any party in Uttar Pradesh since 1980. Muslims make up 18.5% of Uttar Pradesh’s 200 million-strong population, the largest state in India, suggests the recent census.Several women have filed a petition before the Supreme Court seeking the quashing of the triple talaq practice.https://images.indianexpress.com/2020/08/1x1.png
The Central Government has also told the top court that it is against gender injustice and for equality between men and women under the Constitution. However, the All India Muslim Personal Law Board (AIMPLB) has defended the practice, saying it is better to divorce a woman than kill her. “The rights bestowed by religion can’t be questioned in a court of law,” it said.
Last year, Prime Minister Narendra Modi has asserted that he favoured the discontinuation of ‘triple talaq’, stating that “lives of Muslim women cannot be allowed to be destroyed by triple talaq.” He also targeted the opposition for ‘politicising’ the issue and supporting a gender discriminatory practice to appease their vote banks."
