web-scraper-order,web-scraper-start-url,news,news-href,title,date,content
"1618746360-124","https://aninews.in/search/?query=%22triple%20talaq%22&page=37","Venkaiah Naidu is India's new expert on Sharia: Owaisi","https://aninews.in/news/national/politics/venkaiah-naidu-is-india039s-new-expert-on-sharia-owaisi","Venkaiah Naidu is India's new expert on Sharia: Owaisi","Aug 23, 2017 11:20","Hyderabad (Telangana) [India], May 1 (ANI): All India Majlis-e-Ittehad-ul Muslimeen chief Asaduddin Owaisi on Monday slammed Union Minister Venkaiah Naidu for speaking on the much-debated Triple Talaq issue, saying that the Bharatiya Janata Party (BJP) wants to keep the fire of communalism ignited.      Taking a dig at Naidu, Owaisi dubbed him as an 'expert on Sharia, asking the minister to not be selective and speak on other issues also concerning the Muslim community.      ""Well, the nation now has a new expert on Sharia who happens to be Venkaiah Naidu. I would ask him to explain to us what is Sharia? Why is Naidu not talking about the rights of Pilu Khan's blind mother, about rights of Zakia Jafri, about Akhlaq's wife and mother, and Najeeb's mother? So, this selective talking about rights is not acceptable to us,"" Owaisi told ANI.      Owaisi further said that when the Supreme Court is to hear the matter from May 11 onwards, then why is the BJP intruding before.      Earlier yesterday, Naidu reiterated Prime Minister Narendra Modi's appeal to not politicise the issue of triple talaq and asserted that the controversial practice had no sanction in Shariat.      ""Triple talaq is a matter of right of equality and right of women to live with dignity. It should not be politicised. I appeal to all political parties to take a resolve to put an end to negative politics,"" he said, while addressing a press conference in Hyderabad.      Prime Minister Modi earlier on Saturday appealed to the Muslim community to find for proper solution to end the practice of triple talaq.      Addressing the Basva festival, he told the media, ""I believe people from Muslim community would come up to solve the issue of triple talaq and act as savior to the Muslim women in this crucial period.""      He further went on to say that there should be no discrimination in the country, adding that ' Sabka Saath Sabka Vikas' was the motto of his government and it would fulfill the promises made to the people without any discrimination. (ANI)"
"1618746016-5","https://aninews.in/search/?query=%22triple%20talaq%22&page=46","High time SC should strike off triple talaq: Women activist","https://aninews.in/news/national/politics/high-time-sc-should-strike-off-triple-talaq-women-activist","High time SC should strike off triple talaq: Women activist","Aug 23, 2017 11:20","New Delhi [India], Sept. 2 (ANI): Women rights activist Abha Singh on Friday said the time has come when the Supreme Court should do away with this defective procedure of triple talaq and uphold the right to equality and right to life, which is enshrined in the fundamental rights of the Constitution.      Singh told ANI whatever objections the Muslim law board is making are absolutely wrong      ""Why can it not be rewritten when practices like sati have been struck down? When India has taken strong measures to liberate women from child marriage and practices like sati then why would not married Muslim women be liberated from this derogatory practice called triple talaq. Here there is right to religion, but there are reasonable restrictions imposed by the Constitution on grounds of public order, morality and health. And is this morality that you kick a woman by saying triple talaq, when Sharia and Hadith itself state that the gap of triple talaq has at least to be one menstrual cycle each,"" Abha Singh told ANI.      ""When the Middle-east countries do not practice this triple talaq procedure then this triple talaq in wrong form cannot be practiced and made applicable in India just because in Shah Bano case, the Rajiv Gandhi government took a back foot. I think that is why the Muslim law board is emboldened to make such statements. However, Article 21 which is right to life and right to life means right to live with dignity and in such cases a woman's dignity is violated in such a derogatory and demeaning way when she is told  triple talaq and divorced,"" she added.      Stating that the objections which the Muslim law board has raised are without any merit, Singh said, ""It can be challenged because part three it is fundamental rights. You may have Article 19 which talks of your freedom, which talks of your religious freedom. But then there is something called 19(2) which says there can be restrictions of public order morality and health on religion, minorities have a right to practice their religion. Protect their religion, but still the Constitution is above it.""      ""Article 21 is the keystone and it overrules all other articles. So, does Article 14 equality before law and because married Muslim women  are denied equality before the law, that is why the part three what they are talking of is null and void, it cannot overrule article 14 which says  equality before law and equal protection of laws and here  married Muslim women are not getting equal protection of laws like women of other religions,"" she added.      The All India Muslim Personal Law Board (AIMPLB) on Friday told the Supreme Court that ""personal laws cannot be re-written in the name of social reforms.""      Submitting its response in connection with the ongoing matter on the 'triple talaq' issue, the AIMPLB said, ""Personal laws cannot be challenged as violative of Part III of the Constitution.""      ""When serious discords develop in a marriage and husband wants to get rid of his  wife, legal compulsions and time consuming judicial process....in extreme cases husband may resort to illegal criminal ways of getting rid of her by murdering her. In such situations Triple Talaq is a better recourse,"" AIMPLB told the apex court.      ""Marriage is a contract in which both parties are not physically equal. Male is stronger and female is a weaker sex. Securing separation through court takes a long time deters prospects of remarriage,"" it added.      The AIMPLB further said that polygamy as a social practice is not for gratifying men's lust, but it is a social need.      ""Muslim women have right to divorce under Khula practice. Issues of Muslim Personal Law are raised in the Supreme Court are for Parliament for decide. The Uniform Civil code is a directive principle and not enforceable. The personal laws are protected by Article 25, 26 and 29 of the Constitution as they are acts done in pursuance of a religion,"" it added.      The apex court had last week issued notice to the Central Government on the plea of a Muslim woman challenging the Constitutional validity of 'triple talaq' to end a marriage.      The petitioner Noor Jahan has sought a declaration from the apex court, saying that Section 2 of the Muslim Personal Law (Shariat) Application Act, 1937, was unconstitutional as it violated fundamental rights guaranteed under Articles 14 (equality), 15 (non-discrimination), 21 (life) and 25 (religion) of the Constitution.      In her petition, Jahan has asked whether an arbitrary and unilateral divorce through triple talaq can deprive the wife of her rights in her matrimonial home as also her right to have the custody of her children.      A batch of petitions is being heard by a bench headed by Chief Justice T.S. Thakur and notices have already been issued to the All India Muslim Personal Law Board and others. (ANI)"
"1618746326-112","https://aninews.in/search/?query=%22triple%20talaq%22&page=38","Triple talaq is unconstitutional says MoS P. P. Chaudhury","https://aninews.in/news/national/politics/triple-talaq-is-unconstitutional-says-mos-p-p-chaudhury","Triple talaq is unconstitutional says MoS P. P. Chaudhury","Aug 23, 2017 11:20","Agartala (Tripura) [India], Apr 25 (ANI): Reacting on the triple talaq row, Union Minister of State for Electronics and Information technology, P. P. Chaudhury said in India all law has to be according to the Constitution and if any religious or community law is unconstitutional it has to be amended as per the constitutional provision.      ""There is nothing above the Constitution and according to it there cannot be any difference on the basis of religion, cast or gender. The India Constitution speaks about equality before law and equal protection of the law. If anyone speaks against the India Constitution then that religion has to amend its law according to the Indian Constitution or change its custom accordingly,"" Chaudhury told the media.      Chaudhury further stated that triple talaq speaks in favour of gender inequality.      ""If the law or custom is against the India Constitution then that cannot be practiced. Moreover the triple talaq speaks in favour of gender inequality, even the Indian Constitution and our Prime Minister Narendra Modi guarantees gender equality,"" he added.      The MoS moreover viewed that several nations including Pakistan which have its national religion Islam has liberalized or abolished the triple talaq but a small section in India is in favour of continuing it in our nation but never raised their voice against those countries.      According to the MoS, such IT centres will not only help in educating and e-governance but also create employment scope for youths of the region and hence the union government is putting maximum emphasis of them.      Chaudhury has gone on a two-day visit to inaugurate two National Institute of Electronics and Information Technology in Tripura. He will also inaugurate Software Technology Parks of India (STPI) in Agartala. (ANI)"
"1618746085-29","https://aninews.in/search/?query=%22triple%20talaq%22&page=44","High time to abolish triple talaq, bring justice to Muslim women:","https://aninews.in/news/national/politics/high-time-to-abolish-triple-talaq-bring-justice-to-muslim-women-venkaiah-naidu","High time to abolish triple talaq, bring justice to Muslim women: Venkaiah Naidu","Aug 23, 2017 11:20","Hyderabad (Telangana) [India], Oct. 22 (ANI): Union Information and Broadcasting Minister M.Venkaiah Naidu on Saturday said that it is high time for India to abolish triple talaq and do away with the discriminatory practice which has been denying justice to Muslim women.      ""It is time for the country to move forward and abolish triple talaq to end the discrimination and have gender justice and equality before law. Articles 14 and 16 assure these things. It is time to move and go according to the Constitution and end this practice, which discriminates Muslim women,"" Naidu told ANI here.      On October 7, the Centre had filed an affidavit in the Supreme Court saying that triple talaq is not an essential religious practice in Islam. ""Gender equality and dignity of women are non-negotiable, overarching constitutional values and can brook no compromise,"" the government said in an affidavit filed in the top court. The Muslim law board claimed that triple talaq is a 'personal law', and hence, cannot be modified by the Centre.      The government countered the claim of the Muslim law board and said, ""Practices of triple talaq, polygamy and nikah halala cannot be regarded as essential part of religion and hence get no protection under fundamental right to religion.""      Defending the Centre's opposition to the triple talaq system, Union Minister Ravi Shankar Prasad asserted that in a secular nation like India, women cannot be allowed to suffer such arbitrary and derogatory systems.      Listing out the Centre's three-fold stand which was given in response to the Supreme Court over certain petitions filed by Muslim women, Prasad told ANI that firstly, the issue concerns only and only about the dignity, non-discrimination of women, respect to them and gender justice and India being a secular country governed by a constitution, the abiding values of its constitution about gender justice, dignity of women needs to be respected. ""The second is, India is a secular country. Secularism is a basic structure of the Constitution. Can we, where we have got a secular India, allow the women to suffer a kind of a system which is derogatory and arbitrary?"" he said. Illuminating the third point, the union minister mentioned that in more than a dozen Islamic countries, ranging from Bangladesh to Syria and even Pakistan, matrimonial laws have been regulated by law, including triple talaq.      In August, the All India Muslim Personal Law Board (AIMPLB), in its reply to the petitions, had defended the validity of triple talaq, saying that if the practice is discontinued, a man could murder or burn his wife alive to get rid of her.      ""If there develops serious discord between the couple, and the husband does not at all want to live with her, the legal compulsions of time-consuming separation proceedings and expenses may deter him from taking the legal course. In such instances, he may resort to illegal, criminal ways of murdering or burning her alive,"" the AIMPLB's affidavit had stated.      Triple talaq is the act of giving divorce to one's spouse in one setting. (ANI)"
"1618746279-95","https://aninews.in/search/?query=%22triple%20talaq%22&page=39","BJP hails PM Modi as ambassador of good governance","https://aninews.in/news/national/politics/bjp-hails-pm-modi-as-ambassador-of-good-governance","BJP hails PM Modi as ambassador of good governance","Aug 23, 2017 11:20","Bhubaneswar [India], Apr 16 (ANI): With Prime Minister Narendra Modi reaching out to the 'Muslim sisters' in the wake of the ongoing controversy surrounding the triple talaq in the country, the Bharatiya Janata Party (BJP) on Sunday lauded his efforts in ensuring development of every strata of the society.      BJP leader Shahnawaz Hussain while supporting the Prime Minister's stance stated it is important for the Muslim women to be supported at this time of crisis.      ""Our Prime Minister has urged everyone to share the burden of the Muslim women. He has always encouraged wholesome development of the society,"" he told ANI.      Reiterating the importance of exercising power in the right direction, Hussain said Prime Minister Modi has been inspirational in his approach towards good governance.      ""Our Prime Minister has taken initiatives envisioning the completion of 75 years since India's independence,"" he said, adding that his 'Sabka Saath Sabka Vikas' strategy is mirrored in all his efforts.      Echoing similar opinion, Union Minister and BJP leader Babul Supriyo hailed Prime Minister Modi for his prolonged emphasis on proactive governance and urged that ministers must not become complacent.      ""With power comes great responsibility. Our Prime Minister has a very clean thought process. He has always reminded ministers that victory should not be a distraction from good governance. He also emphasised on the importance of raising issues with utmost deliberation, especially when on record,"" he said.      Earlier, Prime Minister Modi called on the BJP to tackle the triple talaq issue at the district level.      ""Our Muslim sisters deserve justice. We should try to solve this issue at the district level. We should also proceed on the formula of a new India. We can't simply move forward on a slow pace, but charge ahead with full speed,"" the Prime Minister said during the BJP National Executive Meeting.      Further to this, BJP leader Shrikant Sharma asserted that the party has always been against the concept of triple talaq primarily because it is related to a woman's dignity and safety.      ""It has been banned in other Muslim countries, so why not ban it in India as well,"" he argued.      Another BJP leader Shazia Ilmi while lauding the Prime Minister's agenda stated that tackling the triple talaq issue at the grass-root level is the only way to solve the issue.      ""The issue should be solved at the district level so that each and every individual should be aware about it. The women who are downtrodden, especially the ones who are economically weak will get a lot of help and support from this initiative by Prime Minister Modi,"" she added.      Meanwhile, the All India Muslim Personal Law Board (AIMLPB) today stated that those who give triple talaq without the reasons prescribed by the Sharia law will face social boycott.      The AIMPLB, which has opposed the PILs filed against the triple talaq in the Supreme Court, had earlier on Wednesday said the board will do away with the practice of verbal divorce in one-and-a half years, adding there is no need for government interference.      A five-judge constitution bench of the apex court will start hearing from May 11 the petitions against triple talaq.      The court will hear pleas filed by several Muslim women challenging the practice under which men can divorce their wives instantly by uttering the word 'talaq' thrice. (ANI)"
"1618746194-69","https://aninews.in/search/?query=%22triple%20talaq%22&page=41","SC to hear various petitions on triple talaq today","https://aninews.in/news/national/politics/sc-to-hear-various-petitions-on-triple-talaq-today","SC to hear various petitions on triple talaq today","Aug 23, 2017 11:20","New Delhi [India], Mar. 30 (ANI): The Supreme Court will on Thursday hear various petition on the Constitutional legitimacy of triple talaq and polygamy in the Muslim community.      The apex court had earlier made it clear that it is not debating the important issue of uniform civil code (UCC). However, the petitioners had told the apex court that the matter is a serious and sensitive issue and the court should hear it.      Several women have filed a petition before the Supreme Court seeking the quashing of the triple talaq practice.      However, the All India Muslim Personal Law Board has defended the practice, saying it is better to divorce a woman than kill her. The rights bestowed by religion can't be questioned in a court of law, it said.      The Muslim body has claimed that any order against Triple Talaq would be an infringement on their right to follow and profess any religion.      The Supreme Court has been hearing a number of petitions against Triple Talaq demanding banning of the same. (ANI)"
"1618746179-64","https://aninews.in/search/?query=%22triple%20talaq%22&page=42","Will fight against triple talaq: Muslim cleric","https://aninews.in/news/national/politics/will-fight-against-triple-talaq-muslim-cleric","Will fight against triple talaq: Muslim cleric","Aug 23, 2017 11:20","Hyderabad (Telangana), Mar 15 (ANI): Muslim Cleric Maulana Yasoob Abbas on Wednesday said that he will fight against the system of Triple Talaq.      Asserting that a man cannot divorce by merely saying talaq thrice Abbas said,"" By only saying 'Talaq' thrice you cannot get divorced.  For divorce you need a witness. No one cannot divorce his spouse by saying talaq thrice in a sitting.""      ""The matter is in the Supreme Court, the government of India has expressed its views. I want that this system of triple talaq ends and we are fighting for it,"" he told ANI.      Several women have filed a petition before the Supreme Court seeking the quashing of the triple talaq practice.      The Central Government has also told the top court that it is against gender injustice and for equality between men and women under the Constitution.      However, the All India Muslim Personal Law Board (AIMPLB) has defended the practice, saying it is better to divorce a woman than kill her.      ""The rights bestowed by religion can't be questioned in a court of law,"" it said. (ANI)"
"1618746512-175","https://aninews.in/search/?query=%22triple%20talaq%22&page=32","Triple Talaq: India stands with women in their struggles, says PM","https://aninews.in/news/national/politics/triple-talaq-india-stands-with-women-in-their-struggles-says-pm-modi","Triple Talaq: India stands with women in their struggles, says PM Modi","Aug 23, 2017 11:20","New Delhi [India], Aug. 15 (ANI): Prime Minister Narendra Modi on Tuesday, on the occassion of 71st Independence Day, admired the courage of women who have been suffering due to Triple Talaq, asserting that nation is with them in their struggles.      Speaking against the practice of Triple Talaq, Prime Minister Modi said, ""The women of this country created a revolution against triple talaq. '- I admire their courage.' I believe India will fully support the women in their struggle.""      Prime Minister Modi further said that there is no one big or small, ""In our nation, there is no one big or small... everybody is equal. Together we can bring a positive change in the nation. We have to take the country ahead with the determination of creating a 'New India.""      Emphasizing the work progress under Pradhan Mantri Ujjwala Yojana, Prime Minister Modi said that about nine crore farmers have got soil health cards, more than 2.5 crore poor women have got (Liquefied Petroleum Gas) LPG gas connections.      ""Be it issue of gas subsidy, Swach Bharat or Demontisation drive, people of India have extended their full support,"" he added.      Averring that the contribution of our mothers and sisters is very important, Prime Minister said, ""We have worked towards extending maternity leave from 12 weeks to 26 weeks.""      Further, remembering the great women and men who worked hard for India's freedom, Prime Minister Modi addressed the nation on the 71st Independence Day from Red Fort.      ""From Sudarshan Chakradhari Mohan to Charkhadhari Mohan, today we are celebrating both our cultural and historical heritage.We remember the great women and men who worked hard for India's freedom,"" he said.      ""This year is a special year for India. This is the 75th anniversary of Quit India, 100th anniversary of Champaran Satyagraha, 125th anniversary of Ganesh Utsav,"" he added. (ANI)"
"1618747415-431","https://aninews.in/search/?query=%22triple%20talaq%22&page=11","AIADMK opposes Triple Talaq Bill, stages walkout in Rajya Sabha","https://aninews.in/news/national/politics/aiadmk-opposes-triple-talaq-bill-stages-walkout-in-rajya-sabha20190730164121","AIADMK opposes Triple Talaq Bill, stages walkout in Rajya Sabha","Jul 30, 2019 16:41","New Delhi (India), July 30 (ANI): National Democratic Alliance (NDA) constituent AIADMK on Tuesday termed the Triple Talaq Bill ""unconstitutional and illegal"" and later staged a walkout in the Rajya Sabha protesting against it.
Participating in the debate in the Upper House of Parliament on the Muslim Women (Protection of Rights on Marriage) Bill, 2019, AIADMK's A Navaneethakrishnan said the Bill will not stand judicial scrutiny and demanded that it should be referred to the Select Committee.
""Muslim marriages are a civil contract and the offense of flouting a civil contract cannot be made into a criminal offense. The Bill is unconstitutional, illegal and not sustainable under the law,"" he said.
The AIADMK leader said the practice of triple talaq has already been declared null and void and unconstitutional.
""It is not recognised in Muslim law. It is only an empty phrase now. So merely because a Muslim husband says triple talaq, it cannot affect the society. Pronouncing 'triple talaq' has no effect now,"" he said and asked the government to refer the Bill to the Select Committee for further scrutiny.
AIADMK members later staged a walkout.
The Bill, that proposes to protect the rights of married Muslim women and to prohibit divorce by pronouncing talaq by their husbands, was introduced by Law Minister Ravi Shankar Prasad.
Another BJP ally, Janata Dal-United also opposed the Bill and staged a walkout. Although these NDA allies opposed the Bill, their walkout from the House would help the government in the passage of the Bill. (ANI)"
"1618746151-53","https://aninews.in/search/?query=%22triple%20talaq%22&page=42","BJP using 'triple talaq' issue for electoral gains: NCP","https://aninews.in/news/national/politics/bjp-using-039triple-talaq039-issue-for-electoral-gains-ncp","BJP using 'triple talaq' issue for electoral gains: NCP","Aug 23, 2017 11:20","New Delhi [India], Feb. 7(ANI): The Nationalist Congress Party (NCP) on Tuesday hit back at the comment made by Union Textile Minister Smriti Zubin Irani on triple talaq, alleging that the Bharatiya Janata Party(BJP) is trying to give the issue a communal angle for electoral gain in the upcoming Uttar Pradesh assembly elections.      ""As the UP elections are approaching and they have raised this issue deliberately to gain electoral gain. They always put forth religious angle so that to increase communal tensions as they believe it is the easiest and shortest way for electoral gain,""  NCP leader  Tariq Anwar told ANI.      He added that BJP leaders never talk on main issues like farmers distress, unemployment, corruption and  poverty.      Irani, who is in the midst of campaigning for the party's candidates in the forthcoming assembly elections, challenged Samajwadi Party leader and Uttar Pradesh Chief Minister Akhilesh Yadav's wife Dimple Yadav, and Congress leader Priyanka Gandhi, who is expected to campaign for her party's candidates, to speak up on triple talaq row instead of maintaining a stoic silence on this pressing issue that affects the welfare of Muslim women.      Speaking to the media, Irani said that not just Congress vice-president Rahul Gandhi and Akhilesh should clear their parties' stand on the issue, even the women leaders there should also come out and discuss the issue so that a better and lasting solution to the problem could be found.      Both Congress and Samajwadi Party expect a large part of the Muslim community to vote for them and they have not cleared their stance on the issue of women's rights, especially on triple talaq, providing the BJP with an issue to corner them. (ANI)"
